Date,Open,High,Low,Close,Adj Close,Volume
2020-03-19,1227.709961,1242.819946,1207.800049,1219.719971,1219.719971,280828500
2020-03-20,1220.540039,1304.550049,1220.540039,1303.280029,1303.280029,396283500
2020-03-23,1259.880005,1259.880005,1259.880005,1259.880005,1259.880005,0
2020-03-24,1271.339966,1311.219971,1271.339966,1291.140015,1291.140015,199940700
2020-03-25,1322.189941,1341.859985,1304.969971,1324.500000,1324.500000,208580500
2020-03-26,1333.729980,1336.739990,1309.209961,1328.089966,1328.089966,173835400
2020-03-27,1335.569946,1353.349976,1335.569946,1343.089966,1343.089966,194261000
2020-03-30,1336.229980,1336.229980,1317.390015,1328.880005,1328.880005,144260500
2020-03-31,1336.599976,1352.199951,1335.910034,1350.890015,1350.890015,260583600
2020-04-01,1344.900024,1344.900024,1322.660034,1322.660034,1322.660034,189037100
2020-04-02,1320.619995,1332.609985,1316.939941,1330.900024,1330.900024,154382300
2020-04-03,1331.560059,1333.819946,1324.410034,1330.650024,1330.650024,138072800
2020-04-06,1332.609985,1343.050049,1324.430054,1341.689941,1341.689941,150403500
2020-04-07,1355.510010,1369.920044,1352.630005,1369.920044,1369.920044,182160000
2020-04-08,1366.459961,1367.160034,1358.199951,1361.390015,1361.390015,149272300
2020-04-09,1368.890015,1371.349976,1366.530029,1369.760010,1369.760010,131792500
2020-04-10,1361.619995,1362.160034,1354.280029,1357.500000,1357.500000,81993900
2020-04-13,1357.939941,1359.680054,1352.780029,1356.030029,1356.030029,73131100
2020-04-14,1361.010010,1373.800049,1357.829956,1371.660034,1371.660034,114404000
2020-04-15,1375.619995,1394.660034,1375.119995,1387.790039,1387.790039,166219900
2020-04-16,1381.959961,13198.530273,1378.300049,1386.530029,1386.530029,162695500
2020-04-17,1395.550049,1414.670044,1395.550049,1407.339966,1407.339966,161977100
2020-04-20,1411.689941,1428.949951,1411.689941,1413.119995,1413.119995,183669900
2020-04-21,1407.229980,1407.229980,1381.729980,1381.729980,1381.729980,166167900
2020-04-22,1366.400024,1383.089966,1359.540039,1381.890015,1381.890015,190817200
2020-04-23,1388.739990,1395.339966,1378.780029,1381.640015,1381.640015,147390800
2020-04-24,1376.170044,1377.709961,1367.489990,1369.849976,1369.849976,143980200
2020-04-27,1371.599976,1378.400024,1370.160034,1370.160034,1370.160034,74707700
2020-04-28,1371.979980,1377.369995,1367.439941,1372.199951,1372.199951,145151500
2020-04-29,1372.390015,1386.229980,1372.170044,1380.300049,1380.300049,122355200
2020-04-30,1383.959961,1418.420044,1383.959961,1407.780029,1407.780029,189319500
2020-05-04,1388.829956,1388.829956,1375.390015,1376.589966,1376.589966,116486800
2020-05-05,1378.750000,1398.069946,1378.750000,1389.550049,1389.550049,79911100
2020-05-06,1387.750000,1393.560059,1376.930054,1376.930054,1376.930054,105301100
2020-05-08,1382.119995,1392.229980,1382.020020,1382.310059,1382.310059,127071100
2020-05-12,1379.439941,1388.410034,1377.560059,1379.930054,1379.930054,139615300
2020-05-13,1383.219971,1400.670044,1379.099976,1397.130005,1397.130005,186890100
2020-05-14,1400.339966,1411.079956,1388.800049,1397.250000,1397.250000,180103600
2020-05-15,1403.469971,1408.189941,1398.709961,1403.439941,1403.439941,114462900
